"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6704","should sign up a new user","Google Chrome","Sat Aug 16 19:45:18 GMT+07:00 2025","passed","Sat Aug 16 19:45:25 GMT+07:00 2025","Signup - Major Browsers","signup_major.spec.ts","",""
"","9756","should create and then delete a single static account","Microsoft Edge","Sat Aug 16 19:44:42 GMT+07:00 2025","failed","Sat Aug 16 19:44:51 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","8078","should login and logout successfully","Google Chrome","Sat Aug 16 19:45:17 GMT+07:00 2025","passed","Sat Aug 16 19:45:25 GMT+07:00 2025","Login/Logout - Major Browsers","login_major.spec.ts","",""
"","12464","should delete the created account","webkit","Sat Aug 16 19:18:06 GMT+07:00 2025","passed","Sat Aug 16 19:18:18 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","11142","should create and then delete a new account","Google Chrome","Sat Aug 16 19:35:00 GMT+07:00 2025","failed","Sat Aug 16 19:35:11 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","16118","should sign up a new user","webkit","Sat Aug 16 19:44:40 GMT+07:00 2025","passed","Sat Aug 16 19:44:56 GMT+07:00 2025","Signup - Major Browsers","signup_major.spec.ts","",""
"","7205","should delete account: user_1755348031160_1581@example.com","chromium","Sat Aug 16 19:43:30 GMT+07:00 2025","passed","Sat Aug 16 19:43:38 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","1","should delete account: user_1755348031160_1581@example.com","Google Chrome","Sat Aug 16 19:45:15 GMT+07:00 2025","failed","Sat Aug 16 19:45:15 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","4338","should load and display main elements","firefox","Sat Aug 16 19:44:10 GMT+07:00 2025","passed","Sat Aug 16 19:44:14 GMT+07:00 2025","Homepage - Major Browsers","homepage_major.spec.ts","",""
"","9593","should delete account: user_1755348066603_2135@example.com","webkit","Sat Aug 16 19:44:31 GMT+07:00 2025","failed","Sat Aug 16 19:44:40 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","10390","should delete account: user_1755348055303_4927@example.com","Microsoft Edge","Sat Aug 16 19:44:48 GMT+07:00 2025","failed","Sat Aug 16 19:44:59 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","7319","should sign up a new user","firefox","Sat Aug 16 19:44:16 GMT+07:00 2025","passed","Sat Aug 16 19:44:24 GMT+07:00 2025","Signup - Major Browsers","signup_major.spec.ts","",""
"","6550","should login and logout successfully","firefox","Sat Aug 16 19:44:10 GMT+07:00 2025","passed","Sat Aug 16 19:44:16 GMT+07:00 2025","Login/Logout - Major Browsers","login_major.spec.ts","",""
"","30199","should create and then delete a new account","chromium","Sat Aug 16 19:34:07 GMT+07:00 2025","broken","Sat Aug 16 19:34:37 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","1","should delete account: user_1755348031160_1581@example.com","webkit","Sat Aug 16 19:44:19 GMT+07:00 2025","failed","Sat Aug 16 19:44:19 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","12685","should create and then delete a new account","webkit","Sat Aug 16 19:34:32 GMT+07:00 2025","failed","Sat Aug 16 19:34:44 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","11269","should login and logout successfully","chromium","Sat Aug 16 19:43:44 GMT+07:00 2025","failed","Sat Aug 16 19:43:55 GMT+07:00 2025","Login/Logout - Major Browsers","login_major.spec.ts","",""
"","10080","should create and then delete a single static account","firefox","Sat Aug 16 19:43:50 GMT+07:00 2025","failed","Sat Aug 16 19:44:00 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","10053","should delete account: user_1755348045837_4656@example.com","webkit","Sat Aug 16 19:44:20 GMT+07:00 2025","failed","Sat Aug 16 19:44:30 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","5643","should load and display main elements","chromium","Sat Aug 16 19:43:43 GMT+07:00 2025","passed","Sat Aug 16 19:43:48 GMT+07:00 2025","Homepage - Major Browsers","homepage_major.spec.ts","",""
"","11110","should delete the created account","firefox","Sat Aug 16 19:17:52 GMT+07:00 2025","failed","Sat Aug 16 19:18:03 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","8524","should login and logout successfully","webkit","Sat Aug 16 19:44:36 GMT+07:00 2025","passed","Sat Aug 16 19:44:45 GMT+07:00 2025","Login/Logout - Major Browsers","login_major.spec.ts","",""
"","10972","should create and then delete a single static account","chromium","Sat Aug 16 19:43:30 GMT+07:00 2025","failed","Sat Aug 16 19:43:41 GMT+07:00 2025","Delete Account - Major Browsers","delete_account_major.spec.ts","",""
"","12752","should delete account: user_1755348055303_4927@example.com","webkit","Sat Aug 16 19:44:26 GMT+07:00 2025","failed","Sat Aug 16 19:44:39 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","4384","should load and display main elements","Microsoft Edge","Sat Aug 16 19:44:57 GMT+07:00 2025","passed","Sat Aug 16 19:45:02 GMT+07:00 2025","Homepage - Major Browsers","homepage_major.spec.ts","",""
"","6759","should delete account: user_1755348045837_4656@example.com","chromium","Sat Aug 16 19:43:30 GMT+07:00 2025","passed","Sat Aug 16 19:43:37 GMT+07:00 2025","Delete Latest 4 Accounts - Major Browsers","delete_latest_4_accounts_major.spec.ts","",""
"","3585","should load and display main elements","Google Chrome","Sat Aug 16 19:45:16 GMT+07:00 2025","passed","Sat Aug 16 19:45:20 GMT+07:00 2025","Homepage - Major Browsers","homepage_major.spec.ts","",""
